date	gasoil	sp95	sp95e10	sp98	gpl
20130925	1.37404	1.54358	1.5212	1.58808	0.870151
20130926	1.37154	1.54114	1.51945	1.58618	0.869922
20130927	1.36824	1.53846	1.51766	1.58377	0.869663
20130928	1.36687	1.53736	1.51681	1.58282	0.869897
20130929	1.36701	1.53751	1.51699	1.58297	0.869966
20130930	1.36661	1.53704	1.51676	1.58267	0.87
20131001	1.3653	1.53564	1.5157	1.58147	0.864562
20131002	1.36228	1.5324	1.51251	1.57861	0.860072
20131003	1.35984	1.53085	1.51	1.57603	0.862913
20131004	1.35732	1.52796	1.50759	1.5728	0.862344
20131005	1.35593	1.52645	1.50609	1.5713	0.862017
20131009	1.35385	1.52254	1.50209	1.56734	0.86131
20131010	1.35456	1.52189	1.50182	1.56638	0.861323
20131011	1.35485	1.52114	1.50083	1.56541	0.861024
20131012	1.35607	1.52088	1.50149	1.56568	0.860712
20131013	1.35635	1.5212	1.50174	1.56574	0.861027
20131014	1.35718	1.52175	1.50218	1.56609	0.861151
20131015	1.35738	1.52208	1.5029	1.56622	0.860826
20131016	1.35773	1.52237	1.50285	1.56631	0.8606
20131017	1.35812	1.52281	1.50322	1.56623	0.860191
20131018	1.35874	1.52378	1.50434	1.56739	0.860267
20131019	1.35798	1.52395	1.50399	1.56707	0.86004
20131020	1.35661	1.52442	1.50188	1.56462	0.857688
20131021	1.35775	1.52423	1.50414	1.56733	0.860897
20131022	1.35679	1.52424	1.50347	1.5669	0.860745
20131023	1.35637	1.52421	1.50341	1.56694	0.860599
20131024	1.35541	1.5234	1.50238	1.56617	0.860624
20131025	1.35123	1.51984	1.4986	1.56287	0.85976
20131026	1.3475	1.51739	1.49508	1.55975	0.860216
