timestamp	id	gasoil	sp95	sp95e10	sp98	gpl	brand	name	address
1384609048	1000001	1.275	1.481		1.519		        Carrefour Market	        Carrefour Market	ROUTE NATIONALE 01000 SAINT-DENIS-LÈS-BOURG
1384619623	1000002	1.275	1.481		1.519		        Carrefour Market	        Carrefour Market	16 Avenue de Marboz 01000 BOURG-EN-BRESSE
1384592556	1000004	1.410	1.570			0.950	        Total	        SARL WALES DISTRIBUTION	20 Avenue du Maréchal Juin 01000 BOURG-EN-BRESSE
1384614469	1000005	1.380		1.490	1.570		        Total	        RELAIS DES VAVRES	642 Avenue de Trévoux 01000 SAINT-DENIS-LÈS-BOURG
1384614234	1000006	1.299	1.529		1.569		        Casino	        CASINO SUPERMARCHE	1 Boulevard John Kennedy 01000 BOURG-EN-BRESSE
1384608573	1000007	1.275	1.481	1.437	1.519		        Leclerc	        CENTRE E. LECLERC	Avenue Amédée Mercier 01000 BOURG-EN-BRESSE
1384609003	1000008	1.275	1.481	1.437	1.519		        Carrefour	        Carrefour   bourg en bresse	Bd Charles de Gaulle 01000 BOURG-EN-BRESSE
1384620415	1000009	1.275	1.481	1.437	1.519		        Intermarché	        INTERMARCHE BOURG EN BRESSE	56 Rue du Stand 01000 BOURG-EN-BRESSE
1384603264	1000010	1.275		1.442	1.526		        Total Access	        TOTAL ACCESS	Boulevard Charles de Gaulle 01000 BOURG-EN-BRESSE
1384615806	1090001	1.278	1.470	1.578	1.503		        Simply Market	        SIMPLY MARKET	LE GRAND RIVOLET 01090 MONTCEAUX
1384619367	1100001	1.279	1.459	1.439		0.840	        Géant	        GEANT CASINO	ROUTE DE DORTAN 01100 ARBENT
1384615438	1100002	1.269	1.459		1.542		        Carrefour Market	        Carrefour Market	Rue Brillat-Savarin 01100 OYONNAX
1384598830	1100003	1.369		1.489	1.569	0.880	        Total	        RELAIS DES CRETETS	174 Cours de Verdun 01100 OYONNAX
1384594280	1100004	1.352	1.544		1.588		        Avia	        STATION SERVICE AVIA	886 AVENUE JEAN COUTTY 01100 ARBENT - OYONNAX
1384595312	1100006	1.269	1.459				        Intermarché	        DB OYONNAX	74 Rue Jules Michelet 01100 OYONNAX
1384613918	1110001	1.305	1.495		1.519		        Carrefour Market	        Carrefour Market	Rue Massonod 01110 HAUTEVILLE-LOMPNES
1384608020	1120002	1.439		1.579	1.659		        Total	        RELAIS DE DAGNEUX	AUTOROUTE A 42 01120 DAGNEUX
1384616957	1120004	1.269	1.462		1.511		        Système U	        SUPER U MONTLUEL	Cours de la Portelle 01120 MONTLUEL
1384609439	1120005	1.269	1.462	1.439	1.505		        Intermarché	        INTERMARCHE LA BOISSE-MONTLUEL	Route de Thil 01120 LA BOISSE
1384614311	1120006	1.390		1.550	1.630		        Total	        GARAGE DE LA BOISSE	521 ROUTE NATIONALE 01120 LA BOISSE
1384595794	1120007	1.439		1.569	1.750		        Shell	        SHELL	AUTOROUTE A42, AIRE DE LYON-DAGNEUX 01120 DAGNEUX
1384618503	1130001	1.297		1.449	1.519		        Elf	        RELAIS ELF  RESIDENCE	ROUTE DE LA CLUSE 01130 NANTUA
1384613445	1130002	1.350	1.540		1.588		        Avia	        SARL GARAGE MEUNIER	Moulin de Charix 01130 LALLEYRIAT
1384603368	1140001	1.325	1.495				        Carrefour Contact	        CARREFOUR CONTACT	LES HUGUETS 01140 SAINT-DIDIER-SUR-CHALARONNE
1384599772	1150001	1.299	1.489	1.489	1.509		        Carrefour Market	        Carrefour Market	8 RUE DE L&#039;INDUSTRIE 01150 LAGNIEU
1384611651	1150002	1.340		1.519	1.599		        Total	        TOTAL SAINT VULBAS	Avenue Charles de Gaulle 01150 SAINT-VULBAS
1384607396	1160001	1.289		1.429			        Total Access	        RELAIS DU CHENE	Route de bourg 01160 PONT-D&#039;AIN
1384605543	1160002	1.290	1.470	1.410	1.500		        Système U	        SUPER U	Le Pont Rompu - RD 1084 01160 PONT-D&#039;AIN
1384609153	1160003	1.287	1.449		1.489		        Ecomarché	        ECOMARCHE NEUVILLE SUR AIN	Rue du Docteur Hubert 01160 NEUVILLE-SUR-AIN
1384595866	1170001	1.280	1.460		1.485		        Carrefour	        CARREFOUR SEGNY	RN5 01170 SÉGNY
1384609057	1170002	1.299	1.479		1.509		        Carrefour Market	        Carrefour Market	Lieu-Dit les Vertes Campagnes 01170 GEX
1384612808	1170003	1.300	1.480		1.510		        Intermarché	        INTERMARCHE GEX	Route de Divonne les Bains 01170 GEX
1384597496	1170005	1.352	1.541		1.588		        Avia	        Station des Tilleuls	Avenue des Tilleuls 01170 GEX
1384615332	1190001	1.289	1.467		1.500		        Atac	        ATAC Saint Bénigne	PAE Pont de Vaux Est 01190 SAINT BÉNIGNE
1384593115	1200001	1.289	1.479		1.517		        Carrefour Market	        Carrefour Market	69 Rue de la République 01200 BELLEGARDE-SUR-VALSERINE
1384619542	1200003	1.289	1.479	1.459	1.517		        Carrefour Market	        CARREFOUR MARKET HYPER	Avenue Maréchal de Lattre de Tassigny 01200 BELLEGARDE-SUR-VALSERINE
1384598493	1210001	1.295	1.475		1.529		        Carrefour	        CARREFOUR FERNEY VOLTAIRE	Chemin de la Brunette 01210 FERNEY-VOLTAIRE
1384594761	1210002	1.390	1.550		1.630		        Total	        GARAGE DUNAND	ROUTE DE GENEVE 01210 FERNEY-VOLTAIRE
1384619846	1210003	1.280	1.460	1.415			        Leclerc	        CENTRE E.LECLERC	Route de Meyrin 01210 FERNEY-VOLTAIRE
1384604884	1220001	1.309	1.500		1.513		        Carrefour Market	        Carrefour Market	AVENUE MONT MUSSY 01220 DIVONNE-LES-BAINS
1384599639	1230002	1.350	1.520		1.570		        Avia	        SARL MATHY GARAGE DE L EUROPE	38 AVENUE DE L EUROPE 01230 SAINT-RAMBERT-EN-BUGEY
1384602847	1230003	1.370	1.530		1.560		        Elan	        STATION ELAN GARAGE BOLLEY	RD 1504 01230 TORCIEU
1384596994	1240001	1.410	1.610				        Indépendant sans enseigne	        GARAGE CHAUDIER	LE BOURG 01240 DOMPIERRE-SUR-VEYLE
1384610467	1250001	1.444		1.594	1.674	0.940	        Total	        RELAIS BOURG JASSERON	A 40 - AIRE DE BOURG JASSERON 01250 JASSERON
1384609909	1250002	1.450		1.570		0.960	        BP	        BP A40 AIRE DE BOURG TEYSONGUE	AIRE DE BOURG TEYSONGUE A 40 01250 CEYZÉRIAT
1384603961	1250004	1.349	1.549				        Avia	        AVIA	route de la Vavrette 01250 TOSSIAT
1384591974	1270002	1.409	1.589		1.619		        Avia	        Station des sens	Grande Rue 01270 COLIGNY
1384620911	1290001	1.290	1.480		1.510		        Système U	        SUPER U	Route de Chatillon Sur Chalaronne 01290 LAIZ
1384608472	1300001	1.298	1.465		1.519		        Carrefour Market	        Carrefour Market	ZAC DE L#039;OUSSON 01300 BELLEY
1384603173	1300002	1.289	1.464		1.519		        Simply Market	        SIMPLY MARKET	Rue Mante 01300 BELLEY
1384613367	1300003	1.283	1.474		1.498		        Intermarché	        INTERMARCHE CHAZEY BONS	RN 504 - ZI de Penaye 01300 CHAZEY-BONS
1384606099	1310001	1.364	1.594	1.545	1.625		        Total	        GARAGE GUIGUE SA	1123 Route de Mâcon 01310 POLLIAT
1384613761	1320001	1.400	1.590				        Elan	        SARL JACQUET AUTOMOBILES	Grande Rue 01320 CHALAMONT
1384601740	1330001	1.399	1.579		1.619		        Total	        SARL BUTILLON	245, Route du 3 Septembre 1944 01330 AMBÉRIEUX-EN-DOMBES
1384612169	1330002	1.269	1.459	1.429	1.509		        Système U	        super u	zac de la tuilerie 01330 VILLARS-LES-DOMBES
1384617907	1340001	1.274	1.480		1.498		        Carrefour Market	        Carrefour Market	Rue des Luyers 01340 MONTREVEL-EN-BRESSE
1384593257	1340002	1.364		1.545	1.625		        Total	        SARL GOYARD	RN.75 01340 MALAFRETAZ
1384603873	1340003	1.274	1.480		1.498		        Intermarché	        INTERMARCHE MONTREVEL EN BRESSE	Les Cézilles 01340 JAYAT
1384613994	1340004	1.369	1.583				        Dyneff	        GARAGE DES PRÉS	771 Route de Bourg 01340 ATTIGNAT
1384609450	1350001	1.285	1.476		1.497		        Carrefour Market	        Carrefour Market	Avenue Jean Falconnier 01350 CULOZ
1384598505	1350003	1.285	1.476		1.497		        Netto	        NETTO BEON	PARC D#039;ACTIVIT DES FOURS 01350 BÉON
1384593790	1360002	1.459	1.579				        Elan	        Station service ELAN	Route de Lyon 01360 BALAN
1384591904	1370001	1.359	1.539		1.589	0.940	        Indépendant sans enseigne	        SARL CIRA DISTRIBUTION	Route de Strasbourg 01370 SAINT-ÉTIENNE-DU-BOIS
1384613214	1390001	1.264	1.469		1.526		        Carrefour Market	        Carrefour Market	Allées des Marronniers 01390 SAINT-ANDRÉ-DE-CORCY
1384606634	1390002	1.360		1.530	1.610		        Total	        RELAIS SAINT ANDRE DE CORCY	Z.I. DE CURE 01390 SAINT-ANDRÉ-DE-CORCY
1384618751	1390004	1.439		1.569	1.639	0.940	        Agip	        AGIP AIRE DE MIONNAY OUEST GALMIER A46 SENS PARIS-MARSEILLE	AIRE DE MIONNAY OUEST GALMIER A46 01390 MIONNAY
1384612330	1390006	1.439		1.579	1.639	0.940	        Agip	        AIRE DE MIONNAY EST	Autoroute A46 Sens Sud Nord 01390 MIONNAY
1384604413	1400001	1.268	1.458		1.498		        Carrefour Market	        Carrefour Market	AVENUE MARECHAL FOCH 01400 CHATILLON-SUR-CHALARONNE
1384597051	1400003	1.450	1.640				        Elan	        GARAGE CENTRAL TASPINAR	AVENUE PIERRE MARCAULT 01400 CHATILLON SUR CHALARONNE
1384613108	1400005	1.268	1.458		1.498		        Intermarché	        INTERMARCHE CHATILLON /CHALARONN	Avenue Jean Jaurès 01400 CHATILLON SUR CHALARONNE
1384596954	1430001	1.444		1.589	1.669	0.940	        Total	        RELAIS DE CEIGNES CERDON	AUTOROUTE A 40 - SENS PARIS PROV 01430 CEIGNES
1384612558	1430003	1.450		1.600	1.690	0.940	        Agip	        AGIP CEIGNES A40 SENS ANNECY BOURG EN BRESSE	AIRE DE CEIGNES HAUT BUGEY 01430 CEIGNES
1384610378	1430004	1.409	1.582	1.558			        Indépendant sans enseigne	        GARAGE  MURET	2 RUE DE L#039; EGALITE 01430 MAILLAT
1384618432	1440001	1.410	1.560				        Total	        GARAGE BERRODIER	1029 ROUTE DE MARBOZ-LOUHANS 01440 VIRIAT
1384591582	1440002	1.370		1.530	1.610		        Total	        STE DU VEHICULE INDUSTRIEL SAS	Route de Strasbourg 01440 VIRIAT
1384608719	1440003	1.339	1.539				        Avia	        AVIA	261 Route de Paris 01440 VIRIAT
1384617940	1460001	1.297	1.499		1.515		        Carrefour Market	        Carrefour Market	68 Rue du Juras 01460 MONTREAL-LA-CLUSE
1384614720	1460002	1.390	1.550				        Indépendant sans enseigne	        ETS CRAUSAZ	Route de Berthiand 01460 NURIEUX-VOLOGNAT
1384611212	1460003	1.303	1.499	1.465	1.515		        Intermarché	        INTERMARCHE PORT	Rue de l&#039;industrie 01460 PORT
1384619880	1470001	1.370	1.550	1.630	1.580		        Avia	        STATION SERVICE AVIA	LES GRANGES DE MONTAGNIEU 01470 MONTAGNIEU
1384595438	1470002	1.289		1.432	1.498		        Intermarché	        Intermarché Briord	Rue des Verchères 01470 BRIORD
1384596541	1480001	1.268	1.439		1.479		        Carrefour Market	        Carrefour Market	Rue Édouard Herriot 01480 JASSANS-RIOTTIER
1384593509	1500001	1.299	1.489	1.469	1.509		        Carrefour Market	        Carrefour Market	Rue Alexandre Bérard 01500 AMBÉRIEU-EN-BUGEY
1384597232	1500003	1.380	1.550				        Total	        RELAIS CHATEAU-GAILLARD	550, Avenue Jean Mermoz 01500 CHÂTEAU-GAILLARD
1384611587	1500004	1.370	1.550		1.590		        Avia	        GARAGE VINCENT SAS	15 Avenue de la Libération 01500 AMBÉRIEU-EN-BUGEY
1384617898	1500006	1.370	1.540				        Avia	        LE RELAIS DE CHATEAU-GAILLARD	550, RUE JEAN MERMOZ 01500 CHÂTEAU-GAILLARD
1384618093	1500007	1.289	1.469	1.429		0.849	        Intermarché	        INTERMARCHE AMBERIEU EN BUGEY	CENTRE COMMERCIAL DE L&#039;AVIATIONRAIS 01500 AMBÉRIEU-EN-BUGEY
1384615995	1510001	1.284	1.475		1.519		        Carrefour Contact	        CARREFOUR CONTACT ARTEMARE	1 RUE DES CHAMPS 01510 ARTEMARE
1384591589	1510002	1.390	1.580		1.610		        Avia	        Garage de La Gare	Chef Lieu 01510 VIRIEU-LE-GRAND
1384594464	1540001	1.275	1.481		1.519		        Carrefour Market	        Carrefour Market	Route de Neuville 01540 VONNAS
1384610894	1540002	1.275	1.481	1.461			        Netto	        Netto	za les grands varays rte de neuville 01540 VONNAS
1384592875	1570001	1.289	1.459				        Intermarché	        Intermarché	Grande Rue 01570 FEILLENS
1384616114	1590001	1.333	1.493		1.555		        Avia	        GARAGE CLAUDE SARL	Rue du 21 Juillet 1944 01590 DORTAN
1384601387	1590002	1.279	1.459	1.429			        Intermarché Contact	        INTERMARCHE	ZAC sous la Combe 01590 LAVANCIA-EPERCY
1384616597	1600001	1.271	1.462		1.519		        Carrefour Market	        Carrefour Market	Rue du Figuier 01700 MIRIBEL
1384618452	1600002	1.264	1.457		1.489		        Carrefour Market	        Carrefour Market	324 Route de Lyon 01600 TREVOUX
1384607223	1600003	1.273	1.457	1.526	1.490		        Simply Market	        SIMPLY MARKET	Avenue Lavoisier 01600 MASSIEUX
1384610452	1630001	1.309	1.489		1.519		        Carrefour Market	        Carrefour Market	RUE DE GENEVE 01630 SAINT-GENIS-POUILLY
1384607949	1630002	1.380	1.570				        Avia	        GARAGE RENAULT - P.YVES HUISSOUD	50 Rue de la Faucille 01630 SAINT-GENIS-POUILLY
1384593745	1630003	1.280		1.425	1.485		        Intermarché	        INTERMARCHE ST GENIS POUILLY	148 Rue des Chalets 01630 SAINT-GENIS-POUILLY
1384600845	1630004	1.280	1.541	1.425	1.485		        Ecomarché	        ECOMARCHE PERON ECOMARCHE	ZA DU PRE MUNNY 01630 PÉRON
1384614487	1640001	1.399	1.599				        Elan	        GARAGE CEYZERIAT	route 01640 SAINT-JEAN-LE-VIEUX
1384617930	1700003	1.264		1.446	1.526		        Esso Express	        ESSO LES ECHETS	RN 83 01700 MIRIBEL
1384619460	1700004	1.269	1.462	1.439	1.511	0.821	        Leclerc	        SAS BEDIS	ZAC des Beterses 01700 BEYNOST
1384592379	1710001	1.285	1.465		1.485		        MIGROS	        MIGROS	route de Bellegarde 01710 THOIRY
1384620958	1750001	1.288	1.478	1.437			        Intermarché	        INTERMARCHE REPLONGES	223 route de Bourg-en-Bresse 01750 REPLONGES
1384594254	1800001	1.269	1.462		1.511		        Carrefour Market	        Carrefour Market	47 Route de Lyon 01800 MEXIMIEUX
1384620854	1800002	1.420	1.600				        Dyneff	        SARL GARAGE ROUSSET	11 route de Port-Galland 01800 SAINT-MAURICE-DE-GOURDANS
1384595267	1800003	1.279	1.474	1.450	1.500		        Intermarché	        INTERMARCHE MEXIMIEUX	ROUTE DE CHALAMONT 01800 MEXIMIEUX
1384615894	1960001	1.275	1.481		1.519		        Carrefour Market	        Carrefour Market	Chemin de Bellevue 01960 PÉRONNAS
1384613207	1960004	1.349		1.499	1.559	0.864	        Agip	        AGIP PERONNAS	148 Avenue de Lyon 01960 PÉRONNAS
1384597928	1980001	1.350	1.539				        Total	        LOYETTES DISTRIBUTION STATION TOTAL	63 Rue du Bugey 01360 LOYETTES
1384612057	2000001	1.287	1.477		1.526		        Carrefour Market	        Carrefour Market Menu	RUE DU DOCTEUR MENU 02000 LAON
1384612996	2000002	1.293	1.477		1.526		        Carrefour	        Carrefour Laon	ZAC ILE DE FRANCE 02000 LAON
1384606010	2000003	1.299	1.519		1.549		        Carrefour Market	        Carrefour Market Christ	16 RUE FERNAND CHRIST 02000 LAON
1384597156	2000005	1.370		1.520	1.600		        Total	        GGE EUROPE AUTO	97 Avenue Charles de Gaulle 02000 LAON
1384607682	2000007	1.294		1.466	1.526		        Esso Express	        ESSO CARNOT LAON	16 Boulevard Pierre Brossolette 02000 LAON
1384603889	2000008	1.293	1.477		1.526	0.872	        Leclerc	        LAONDIS	rue Jean Jaures 02000 CHAMBRY
1384620431	2000009	1.297	1.477	1.447			        Intermarché	        INTERMARCHE LAON	167 Avenue Pierre Mendès France 02000 LAON
1384595065	2100001	1.299	1.490		1.526	0.819	        Auchan	        AUCHAN	Route d&#039;AMIENS 02100 SAINT-QUENTIN
1384611518	2100008	1.299		1.439	1.499		        Esso Express	        ESSO FAIDHERBE	46 Avenue Faidherbe 02100 SAINT-QUENTIN
1384605311	2100009	1.294		1.427	1.495	0.820	        Leclerc	        CONTOYDIS	Route de Guise 02100 HARLY
1384617391	2100011	1.299		1.439	1.519		        Total Access	        POREZ AUTO LOCA STATION	98 rue Alexandre Dumas 02100 SAINT-QUENTIN
1384617820	2100012	1.283	1.432	1.397	1.464	0.818	        CORA	        CORA	Route de BOHAIN 02100 SAINT-QUENTIN
