id	gasoil	sp95	sp95e10	sp98	gpl	brand	name	address
1000001								
1000002	1.275	1.481		1.519		        Carrefour Market	        Carrefour Market	16 Avenue de Marboz 01000 BOURG-EN-BRESSE
1000004								
1000005	1.390		1.490	1.570		        Total	        RELAIS DES VAVRES	642 Avenue de Trévoux 01000 SAINT-DENIS-LÈS-BOURG
1000006								
1000007	1.275	1.481	1.437	1.519		        Leclerc	        CENTRE E. LECLERC	Avenue Amédée Mercier 01000 BOURG-EN-BRESSE
1000008	1.275	1.481	1.437	1.519		        Carrefour	        Carrefour   bourg en bresse	Bd Charles de Gaulle 01000 BOURG-EN-BRESSE
1000009								
1000010	1.275		1.437	1.529		        Total Access	        TOTAL ACCESS	Boulevard Charles de Gaulle 01000 BOURG-EN-BRESSE
1090001								
1100001								
1100002	1.269	1.459		1.542		        Carrefour Market	        Carrefour Market	Rue Brillat-Savarin 01100 OYONNAX
1100003	1.354		1.489	1.569	0.880	        Total	        RELAIS DES CRETETS	174 Cours de Verdun 01100 OYONNAX
1100004								
1100006	1.269	1.459				        Intermarché	        DB OYONNAX	74 Rue Jules Michelet 01100 OYONNAX
1110001	1.299	1.495		1.519		        Carrefour Market	        Carrefour Market	Rue Massonod 01110 HAUTEVILLE-LOMPNES
1120002	1.439		1.559	1.639		        Total	        RELAIS DE DAGNEUX	AUTOROUTE A 42 01120 DAGNEUX
1120004	1.271	1.457		1.519		        Système U	        SUPER U MONTLUEL	Cours de la Portelle 01120 MONTLUEL
1120005	1.271	1.457	1.433	1.519		        Intermarché	        INTERMARCHE LA BOISSE-MONTLUEL	Route de Thil 01120 LA BOISSE
1120006	1.390		1.560	1.640		        Total	        GARAGE DE LA BOISSE	521 ROUTE NATIONALE 01120 LA BOISSE
1120007	1.439		1.559	1.750		        Shell	        SHELL	AUTOROUTE A42, AIRE DE LYON-DAGNEUX 01120 DAGNEUX
1130001	1.299		1.459	1.509		        Elf	        RELAIS ELF  RESIDENCE	ROUTE DE LA CLUSE 01130 NANTUA
1130002	1.344	1.511		1.559		        Avia	        SARL GARAGE MEUNIER	Moulin de Charix 01130 LALLEYRIAT
1140001								
1150001	1.289	1.459	1.489	1.499		        Carrefour Market	        Carrefour Market	8 RUE DE L&#039;INDUSTRIE 01150 LAGNIEU
1150002	1.360		1.514	1.594		        Total	        TOTAL SAINT VULBAS	Avenue Charles de Gaulle 01150 SAINT-VULBAS
1160001	1.287		1.425			        Total Access	        RELAIS DU CHENE	Route de bourg 01160 PONT-D&#039;AIN
1160002	1.290	1.450	1.420	1.490		        Système U	        SUPER U	Le Pont Rompu - RD 1084 01160 PONT-D&#039;AIN
1160003	1.279	1.459		1.489		        Ecomarché	        ECOMARCHE NEUVILLE SUR AIN	Rue du Docteur Hubert 01160 NEUVILLE-SUR-AIN
1170001								
1170002								
1170003								
1170005								
1190001								
1200001	1.285	1.468		1.499		        Carrefour Market	        Carrefour Market	69 Rue de la République 01200 BELLEGARDE-SUR-VALSERINE
1200003	1.285	1.468	1.442	1.499		        Carrefour Market	        CARREFOUR MARKET HYPER	Avenue Maréchal de Lattre de Tassigny 01200 BELLEGARDE-SUR-VALSERINE
1210001	1.295	1.485		1.529		        Carrefour	        CARREFOUR FERNEY VOLTAIRE	Chemin de la Brunette 01210 FERNEY-VOLTAIRE
1210002	1.390	1.550		1.630		        Total	        GARAGE DUNAND	ROUTE DE GENEVE 01210 FERNEY-VOLTAIRE
1210003	1.283	1.465	1.417			        Leclerc	        CENTRE E.LECLERC	Route de Meyrin 01210 FERNEY-VOLTAIRE
1220001	1.308	1.475		1.500		        Carrefour Market	        Carrefour Market	AVENUE MONT MUSSY 01220 DIVONNE-LES-BAINS
1230002								
1230003	1.370	1.530		1.560		        Elan	        STATION ELAN GARAGE BOLLEY	RD 1504 01230 TORCIEU
1240001								
1250001	1.454		1.584	1.664	0.940	        Total	        RELAIS BOURG JASSERON	A 40 - AIRE DE BOURG JASSERON 01250 JASSERON
1250002								
1250004								
1270002	1.409	1.589		1.619		        Avia	        Station des sens	Grande Rue 01270 COLIGNY
1290001	1.290	1.460		1.490		        Système U	        SUPER U	Route de Chatillon Sur Chalaronne 01290 LAIZ
1300001	1.302	1.475		1.524		        Carrefour Market	        Carrefour Market	ZAC DE L#039;OUSSON 01300 BELLEY
1300002	1.273	1.450		1.519		        Simply Market	        SIMPLY MARKET	Rue Mante 01300 BELLEY
1300003								
1310001	1.368	1.594	1.546	1.626		        Total	        GARAGE GUIGUE SA	1123 Route de Mâcon 01310 POLLIAT
1320001								
1330001	1.399	1.579		1.619		        Total	        SARL BUTILLON	245, Route du 3 Septembre 1944 01330 AMBÉRIEUX-EN-DOMBES
1330002								
1340001	1.274	1.458		1.498		        Carrefour Market	        Carrefour Market	Rue des Luyers 01340 MONTREVEL-EN-BRESSE
1340002	1.364		1.519	1.599		        Total	        SARL GOYARD	RN.75 01340 MALAFRETAZ
1340003	1.274	1.458		1.498		        Intermarché	        INTERMARCHE MONTREVEL EN BRESSE	Les Cézilles 01340 JAYAT
1340004	1.369	1.583				        Dyneff	        GARAGE DES PRÉS	771 Route de Bourg 01340 ATTIGNAT
1350001	1.292	1.452		1.474		        Carrefour Market	        Carrefour Market	Avenue Jean Falconnier 01350 CULOZ
1350003								
1360002	1.459	1.579				        Elan	        Station service ELAN	Route de Lyon 01360 BALAN
1370001	1.349	1.529		1.579	0.940	        Indépendant sans enseigne	        SARL CIRA DISTRIBUTION	Route de Strasbourg 01370 SAINT-ÉTIENNE-DU-BOIS
1390001	1.267	1.458		1.515		        Carrefour Market	        Carrefour Market	Allées des Marronniers 01390 SAINT-ANDRÉ-DE-CORCY
1390002	1.350		1.520	1.620		        Total	        RELAIS SAINT ANDRE DE CORCY	Z.I. DE CURE 01390 SAINT-ANDRÉ-DE-CORCY
1390004								
1390006	1.469		1.599	1.679	0.940	        Agip	        AIRE DE MIONNAY EST	Autoroute A46 Sens Sud Nord 01390 MIONNAY
1400001								
1400003								
1400005	1.268	1.458		1.498		        Intermarché	        INTERMARCHE CHATILLON /CHALARONN	Avenue Jean Jaurès 01400 CHATILLON SUR CHALARONNE
1430001								
1430003	1.450		1.600	1.680	0.940	        Agip	        AGIP CEIGNES A40 SENS ANNECY BOURG EN BRESSE	AIRE DE CEIGNES HAUT BUGEY 01430 CEIGNES
1430004	1.409	1.582	1.558			        Indépendant sans enseigne	        GARAGE  MURET	2 RUE DE L#039; EGALITE 01430 MAILLAT
1440001	1.410	1.560				        Total	        GARAGE BERRODIER	1029 ROUTE DE MARBOZ-LOUHANS 01440 VIRIAT
1440002								
1440003								
1460001								
1460002	1.390	1.550				        Indépendant sans enseigne	        ETS CRAUSAZ	Route de Berthiand 01460 NURIEUX-VOLOGNAT
1460003	1.299	1.469	1.439	1.489		        Intermarché	        INTERMARCHE PORT	Rue de l&#039;industrie 01460 PORT
1470001	1.390	1.580	1.630	1.600		        Avia	        STATION SERVICE AVIA	LES GRANGES DE MONTAGNIEU 01470 MONTAGNIEU
